Junction,Vehicles,Hour,Day-of-Week,Year,Month,Day
1,15,5,2,2015,11,11
1,17,6,2,2015,11,11
1,14,7,2,2015,11,11
1,19,8,2,2015,11,11
1,22,9,2,2015,11,11
1,30,10,2,2015,11,11
1,26,11,2,2015,11,11
1,26,12,2,2015,11,11
1,23,13,2,2015,11,11
1,23,14,2,2015,11,11
1,24,15,2,2015,11,11
1,22,16,2,2015,11,11
1,24,17,2,2015,11,11
1,26,18,2,2015,11,11
1,27,19,2,2015,11,11
1,22,20,2,2015,11,11
1,23,21,2,2015,11,11
1,22,22,2,2015,11,11
1,22,23,2,2015,11,11
1,22,0,3,2015,11,12
1,17,1,3,2015,11,12
1,15,2,3,2015,11,12
1,12,3,3,2015,11,12
1,13,4,3,2015,11,12
1,9,5,3,2015,11,12
1,14,6,3,2015,11,12
1,13,7,3,2015,11,12
1,15,8,3,2015,11,12
1,27,9,3,2015,11,12
1,39,10,3,2015,11,12
1,40,11,3,2015,11,12
1,36,12,3,2015,11,12
1,34,13,3,2015,11,12
1,33,14,3,2015,11,12
1,28,15,3,2015,11,12
1,30,16,3,2015,11,12
1,26,17,3,2015,11,12
1,30,18,3,2015,11,12
1,35,19,3,2015,11,12
1,38,20,3,2015,11,12
1,34,21,3,2015,11,12
1,30,22,3,2015,11,12
1,27,23,3,2015,11,12
1,24,0,4,2015,11,13
1,21,1,4,2015,11,13
1,16,2,4,2015,11,13
1,16,3,4,2015,11,13
1,13,4,4,2015,11,13
1,11,5,4,2015,11,13
1,13,6,4,2015,11,13
1,15,7,4,2015,11,13
1,17,8,4,2015,11,13
1,18,9,4,2015,11,13
1,24,10,4,2015,11,13
1,41,11,4,2015,11,13
1,29,12,4,2015,11,13
1,25,13,4,2015,11,13
1,25,14,4,2015,11,13
1,26,15,4,2015,11,13
1,25,16,4,2015,11,13
1,24,17,4,2015,11,13
1,26,18,4,2015,11,13
1,24,19,4,2015,11,13
1,28,20,4,2015,11,13
1,22,21,4,2015,11,13
1,23,22,4,2015,11,13
1,18,23,4,2015,11,13
1,21,0,5,2015,11,14
1,20,1,5,2015,11,14
1,15,2,5,2015,11,14
1,13,3,5,2015,11,14
1,10,4,5,2015,11,14
1,10,5,5,2015,11,14
1,12,6,5,2015,11,14
1,9,7,5,2015,11,14
1,11,8,5,2015,11,14
1,15,9,5,2015,11,14
1,16,10,5,2015,11,14
1,16,11,5,2015,11,14
1,12,12,5,2015,11,14
1,11,13,5,2015,11,14
1,14,14,5,2015,11,14
1,16,15,5,2015,11,14
1,18,16,5,2015,11,14
1,13,17,5,2015,11,14
1,17,18,5,2015,11,14
1,15,19,5,2015,11,14
1,19,20,5,2015,11,14
1,15,21,5,2015,11,14
1,19,22,5,2015,11,14
1,15,23,5,2015,11,14
1,15,0,6,2015,11,15
1,13,1,6,2015,11,15
1,14,2,6,2015,11,15
1,10,3,6,2015,11,15
1,8,4,6,2015,11,15
1,9,5,6,2015,11,15
1,9,6,6,2015,11,15
1,9,7,6,2015,11,15
1,9,8,6,2015,11,15
1,16,9,6,2015,11,15
1,18,10,6,2015,11,15
1,18,11,6,2015,11,15
1,17,12,6,2015,11,15
1,18,13,6,2015,11,15
1,14,14,6,2015,11,15
1,15,15,6,2015,11,15
1,13,16,6,2015,11,15
1,15,17,6,2015,11,15
1,19,18,6,2015,11,15
1,18,19,6,2015,11,15
1,21,20,6,2015,11,15
1,17,21,6,2015,11,15
1,17,22,6,2015,11,15
1,15,23,6,2015,11,15
1,17,0,0,2015,11,16
1,14,1,0,2015,11,16
1,13,2,0,2015,11,16
1,15,3,0,2015,11,16
1,12,4,0,2015,11,16
1,12,5,0,2015,11,16
1,13,6,0,2015,11,16
1,14,7,0,2015,11,16
1,13,8,0,2015,11,16
1,16,9,0,2015,11,16
1,26,10,0,2015,11,16
1,21,11,0,2015,11,16
1,26,12,0,2015,11,16
1,24,13,0,2015,11,16
1,26,14,0,2015,11,16
1,22,15,0,2015,11,16
1,24,16,0,2015,11,16
1,26,17,0,2015,11,16
1,23,18,0,2015,11,16
1,29,19,0,2015,11,16
1,31,20,0,2015,11,16
1,27,21,0,2015,11,16
1,27,22,0,2015,11,16
1,26,23,0,2015,11,16
1,23,0,1,2015,11,17
1,21,1,1,2015,11,17
1,19,2,1,2015,11,17
1,16,3,1,2015,11,17
1,11,4,1,2015,11,17
1,11,5,1,2015,11,17
1,15,6,1,2015,11,17
1,12,7,1,2015,11,17
1,12,8,1,2015,11,17
1,18,9,1,2015,11,17
1,31,10,1,2015,11,17
1,42,11,1,2015,11,17
1,37,12,1,2015,11,17
1,30,13,1,2015,11,17
1,33,14,1,2015,11,17
1,28,15,1,2015,11,17
1,29,16,1,2015,11,17
1,28,17,1,2015,11,17
1,28,18,1,2015,11,17
1,31,19,1,2015,11,17
1,28,20,1,2015,11,17
1,26,21,1,2015,11,17
1,26,22,1,2015,11,17
1,27,23,1,2015,11,17
1,24,0,2,2015,11,18
1,23,1,2,2015,11,18
1,20,2,2,2015,11,18
1,19,3,2,2015,11,18
1,20,4,2,2015,11,18
1,16,5,2,2015,11,18
1,19,6,2,2015,11,18
1,16,7,2,2015,11,18
1,17,8,2,2015,11,18
1,19,9,2,2015,11,18
1,30,10,2,2015,11,18
1,44,11,2,2015,11,18
1,35,12,2,2015,11,18
1,34,13,2,2015,11,18
1,31,14,2,2015,11,18
1,31,15,2,2015,11,18
1,28,16,2,2015,11,18
1,34,17,2,2015,11,18
1,37,18,2,2015,11,18
1,37,19,2,2015,11,18
1,34,20,2,2015,11,18
1,31,21,2,2015,11,18
1,29,22,2,2015,11,18
1,28,23,2,2015,11,18
1,32,0,3,2015,11,19
1,23,1,3,2015,11,19
1,20,2,3,2015,11,19
1,16,3,3,2015,11,19
1,18,4,3,2015,11,19
1,17,5,3,2015,11,19
1,16,6,3,2015,11,19
1,17,7,3,2015,11,19
1,18,8,3,2015,11,19
1,25,9,3,2015,11,19
1,31,10,3,2015,11,19
1,32,11,3,2015,11,19
1,31,12,3,2015,11,19
1,29,13,3,2015,11,19
1,31,14,3,2015,11,19
1,31,15,3,2015,11,19
1,30,16,3,2015,11,19
1,28,17,3,2015,11,19
1,29,18,3,2015,11,19
1,36,19,3,2015,11,19
1,29,20,3,2015,11,19
1,28,21,3,2015,11,19
1,30,22,3,2015,11,19
1,29,23,3,2015,11,19
1,24,0,4,2015,11,20
1,20,1,4,2015,11,20
1,15,2,4,2015,11,20
1,14,3,4,2015,11,20
1,13,4,4,2015,11,20
1,8,5,4,2015,11,20
1,12,6,4,2015,11,20
1,14,7,4,2015,11,20
1,15,8,4,2015,11,20
1,20,9,4,2015,11,20
1,26,10,4,2015,11,20
1,26,11,4,2015,11,20
1,26,12,4,2015,11,20
1,21,13,4,2015,11,20
1,26,14,4,2015,11,20
1,29,15,4,2015,11,20
1,20,16,4,2015,11,20
1,22,17,4,2015,11,20
1,25,18,4,2015,11,20
1,27,19,4,2015,11,20
1,26,20,4,2015,11,20
1,24,21,4,2015,11,20
1,25,22,4,2015,11,20
1,21,23,4,2015,11,20
1,17,0,5,2015,11,21
1,16,1,5,2015,11,21
1,15,2,5,2015,11,21
1,15,3,5,2015,11,21
1,15,4,5,2015,11,21
1,8,5,5,2015,11,21
1,12,6,5,2015,11,21
1,13,7,5,2015,11,21
1,12,8,5,2015,11,21
1,16,9,5,2015,11,21
1,18,10,5,2015,11,21
1,17,11,5,2015,11,21
1,18,12,5,2015,11,21
1,15,13,5,2015,11,21
1,21,14,5,2015,11,21
1,18,15,5,2015,11,21
1,17,16,5,2015,11,21
1,17,17,5,2015,11,21
1,19,18,5,2015,11,21
1,22,19,5,2015,11,21
1,18,20,5,2015,11,21
1,17,21,5,2015,11,21
1,22,22,5,2015,11,21
1,17,23,5,2015,11,21
1,15,0,6,2015,11,22
1,15,1,6,2015,11,22
1,11,2,6,2015,11,22
1,12,3,6,2015,11,22
1,11,4,6,2015,11,22
1,8,5,6,2015,11,22
1,11,6,6,2015,11,22
1,9,7,6,2015,11,22
1,8,8,6,2015,11,22
1,15,9,6,2015,11,22
1,18,10,6,2015,11,22
1,18,11,6,2015,11,22
1,20,12,6,2015,11,22
1,20,13,6,2015,11,22
1,20,14,6,2015,11,22
1,15,15,6,2015,11,22
1,16,16,6,2015,11,22
1,16,17,6,2015,11,22
1,21,18,6,2015,11,22
1,27,19,6,2015,11,22
1,26,20,6,2015,11,22
1,24,21,6,2015,11,22
1,20,22,6,2015,11,22
1,20,23,6,2015,11,22
1,21,0,0,2015,11,23
1,14,1,0,2015,11,23
1,16,2,0,2015,11,23
1,14,3,0,2015,11,23
1,11,4,0,2015,11,23
1,11,5,0,2015,11,23
1,9,6,0,2015,11,23
1,12,7,0,2015,11,23
1,16,8,0,2015,11,23
1,26,9,0,2015,11,23
1,33,10,0,2015,11,23
1,35,11,0,2015,11,23
1,33,12,0,2015,11,23
1,32,13,0,2015,11,23
1,28,14,0,2015,11,23
1,33,15,0,2015,11,23
1,27,16,0,2015,11,23
1,24,17,0,2015,11,23
1,27,18,0,2015,11,23
1,29,19,0,2015,11,23
1,26,20,0,2015,11,23
1,27,21,0,2015,11,23
1,28,22,0,2015,11,23
1,26,23,0,2015,11,23
1,23,0,1,2015,11,24
1,19,1,1,2015,11,24
1,18,2,1,2015,11,24
1,13,3,1,2015,11,24
1,12,4,1,2015,11,24
1,13,5,1,2015,11,24
1,16,6,1,2015,11,24
1,17,7,1,2015,11,24
1,23,8,1,2015,11,24
1,26,9,1,2015,11,24
1,29,10,1,2015,11,24
1,28,11,1,2015,11,24
1,31,12,1,2015,11,24
1,23,13,1,2015,11,24
1,28,14,1,2015,11,24
1,25,15,1,2015,11,24
1,24,16,1,2015,11,24
1,27,17,1,2015,11,24
1,28,18,1,2015,11,24
1,24,19,1,2015,11,24
1,29,20,1,2015,11,24
1,26,21,1,2015,11,24
1,25,22,1,2015,11,24
1,23,23,1,2015,11,24
1,21,0,2,2015,11,25
1,16,1,2,2015,11,25
1,16,2,2,2015,11,25
1,15,3,2,2015,11,25
1,11,4,2,2015,11,25
1,9,5,2,2015,11,25
1,10,6,2,2015,11,25
1,14,7,2,2015,11,25
1,17,8,2,2015,11,25
1,21,9,2,2015,11,25
1,28,10,2,2015,11,25
1,30,11,2,2015,11,25
1,29,12,2,2015,11,25
1,26,13,2,2015,11,25
1,26,14,2,2015,11,25
1,27,15,2,2015,11,25
1,26,16,2,2015,11,25
1,23,17,2,2015,11,25
1,28,18,2,2015,11,25
1,31,19,2,2015,11,25
1,26,20,2,2015,11,25
1,24,21,2,2015,11,25
1,24,22,2,2015,11,25
1,21,23,2,2015,11,25
1,22,0,3,2015,11,26
1,16,1,3,2015,11,26
1,13,2,3,2015,11,26
1,11,3,3,2015,11,26
1,13,4,3,2015,11,26
1,12,5,3,2015,11,26
1,11,6,3,2015,11,26
1,13,7,3,2015,11,26
1,11,8,3,2015,11,26
1,21,9,3,2015,11,26
1,32,10,3,2015,11,26
1,33,11,3,2015,11,26
1,26,12,3,2015,11,26
1,25,13,3,2015,11,26
1,30,14,3,2015,11,26
1,30,15,3,2015,11,26
1,28,16,3,2015,11,26
1,25,17,3,2015,11,26
1,24,18,3,2015,11,26
1,29,19,3,2015,11,26
1,31,20,3,2015,11,26
1,26,21,3,2015,11,26
1,28,22,3,2015,11,26
1,21,23,3,2015,11,26
1,20,0,4,2015,11,27
1,19,1,4,2015,11,27
1,14,2,4,2015,11,27
1,11,3,4,2015,11,27
1,9,4,4,2015,11,27
1,11,5,4,2015,11,27
1,10,6,4,2015,11,27
1,9,7,4,2015,11,27
1,16,8,4,2015,11,27
1,21,9,4,2015,11,27
1,33,10,4,2015,11,27
1,29,11,4,2015,11,27
1,28,12,4,2015,11,27
1,26,13,4,2015,11,27
1,27,14,4,2015,11,27
1,29,15,4,2015,11,27
1,26,16,4,2015,11,27
1,27,17,4,2015,11,27
1,27,18,4,2015,11,27
1,30,19,4,2015,11,27
1,24,20,4,2015,11,27
1,24,21,4,2015,11,27
1,24,22,4,2015,11,27
1,23,23,4,2015,11,27
1,21,0,5,2015,11,28
1,13,1,5,2015,11,28
1,16,2,5,2015,11,28
1,11,3,5,2015,11,28
1,10,4,5,2015,11,28
1,8,5,5,2015,11,28
1,11,6,5,2015,11,28
1,10,7,5,2015,11,28
1,16,8,5,2015,11,28
1,19,9,5,2015,11,28
1,21,10,5,2015,11,28
1,25,11,5,2015,11,28
1,21,12,5,2015,11,28
1,18,13,5,2015,11,28
1,18,14,5,2015,11,28
1,22,15,5,2015,11,28
1,18,16,5,2015,11,28
1,16,17,5,2015,11,28
1,16,18,5,2015,11,28
1,26,19,5,2015,11,28
1,28,20,5,2015,11,28
1,22,21,5,2015,11,28
1,22,22,5,2015,11,28
1,21,23,5,2015,11,28
1,22,0,6,2015,11,29
1,17,1,6,2015,11,29
1,13,2,6,2015,11,29
1,10,3,6,2015,11,29
1,12,4,6,2015,11,29
1,12,5,6,2015,11,29
1,9,6,6,2015,11,29
1,13,7,6,2015,11,29
1,14,8,6,2015,11,29
1,18,9,6,2015,11,29
1,20,10,6,2015,11,29
1,21,11,6,2015,11,29
1,22,12,6,2015,11,29
1,17,13,6,2015,11,29
1,20,14,6,2015,11,29
1,19,15,6,2015,11,29
1,20,16,6,2015,11,29
1,20,17,6,2015,11,29
1,21,18,6,2015,11,29
1,20,19,6,2015,11,29
1,22,20,6,2015,11,29
1,24,21,6,2015,11,29
1,21,22,6,2015,11,29
1,18,23,6,2015,11,29
1,20,0,0,2015,11,30
1,13,1,0,2015,11,30
1,15,2,0,2015,11,30
1,11,3,0,2015,11,30
1,12,4,0,2015,11,30
1,11,5,0,2015,11,30
1,11,6,0,2015,11,30
1,13,7,0,2015,11,30
1,16,8,0,2015,11,30
1,24,9,0,2015,11,30
1,35,10,0,2015,11,30
1,34,11,0,2015,11,30
1,36,12,0,2015,11,30
1,27,13,0,2015,11,30
1,33,14,0,2015,11,30
1,34,15,0,2015,11,30
1,28,16,0,2015,11,30
1,27,17,0,2015,11,30
1,28,18,0,2015,11,30
1,29,19,0,2015,11,30
1,31,20,0,2015,11,30
1,29,21,0,2015,11,30
1,26,22,0,2015,11,30
1,24,23,0,2015,11,30
1,21,0,1,2015,12,1
1,20,1,1,2015,12,1
1,18,2,1,2015,12,1
1,13,3,1,2015,12,1
1,14,4,1,2015,12,1
1,11,5,1,2015,12,1
1,11,6,1,2015,12,1
1,12,7,1,2015,12,1
1,16,8,1,2015,12,1
1,21,9,1,2015,12,1
1,30,10,1,2015,12,1
1,29,11,1,2015,12,1
1,28,12,1,2015,12,1
1,31,13,1,2015,12,1
1,26,14,1,2015,12,1
1,29,15,1,2015,12,1
1,25,16,1,2015,12,1
1,25,17,1,2015,12,1
1,25,18,1,2015,12,1
1,27,19,1,2015,12,1
1,27,20,1,2015,12,1
1,30,21,1,2015,12,1
1,24,22,1,2015,12,1
1,26,23,1,2015,12,1
1,21,0,2,2015,12,2
1,19,1,2,2015,12,2
1,18,2,2,2015,12,2
1,15,3,2,2015,12,2
1,17,4,2,2015,12,2
1,13,5,2,2015,12,2
1,14,6,2,2015,12,2
1,16,7,2,2015,12,2
1,18,8,2,2015,12,2
1,32,9,2,2015,12,2
1,39,10,2,2015,12,2
1,39,11,2,2015,12,2
1,38,12,2,2015,12,2
1,33,13,2,2015,12,2
1,33,14,2,2015,12,2
1,30,15,2,2015,12,2
1,29,16,2,2015,12,2
1,28,17,2,2015,12,2
1,29,18,2,2015,12,2
1,32,19,2,2015,12,2
1,35,20,2,2015,12,2
1,34,21,2,2015,12,2
1,31,22,2,2015,12,2
1,27,23,2,2015,12,2
1,23,0,3,2015,12,3
1,22,1,3,2015,12,3
1,15,2,3,2015,12,3
1,17,3,3,2015,12,3
1,13,4,3,2015,12,3
1,12,5,3,2015,12,3
1,12,6,3,2015,12,3
1,15,7,3,2015,12,3
1,17,8,3,2015,12,3
1,23,9,3,2015,12,3
1,30,10,3,2015,12,3
1,31,11,3,2015,12,3
1,26,12,3,2015,12,3
1,24,13,3,2015,12,3
1,30,14,3,2015,12,3
1,26,15,3,2015,12,3
1,24,16,3,2015,12,3
1,28,17,3,2015,12,3
1,28,18,3,2015,12,3
1,31,19,3,2015,12,3
1,30,20,3,2015,12,3
1,29,21,3,2015,12,3
1,28,22,3,2015,12,3
1,22,23,3,2015,12,3
1,19,0,4,2015,12,4
1,19,1,4,2015,12,4
1,16,2,4,2015,12,4
1,14,3,4,2015,12,4
1,15,4,4,2015,12,4
1,14,5,4,2015,12,4
1,10,6,4,2015,12,4
1,11,7,4,2015,12,4
1,14,8,4,2015,12,4
1,29,9,4,2015,12,4
1,31,10,4,2015,12,4
1,32,11,4,2015,12,4
1,30,12,4,2015,12,4
1,25,13,4,2015,12,4
1,30,14,4,2015,12,4
1,28,15,4,2015,12,4
1,27,16,4,2015,12,4
1,26,17,4,2015,12,4
1,22,18,4,2015,12,4
1,28,19,4,2015,12,4
1,27,20,4,2015,12,4
1,23,21,4,2015,12,4
1,27,22,4,2015,12,4
1,20,23,4,2015,12,4
1,18,0,5,2015,12,5
1,19,1,5,2015,12,5
1,15,2,5,2015,12,5
1,12,3,5,2015,12,5
1,15,4,5,2015,12,5
1,7,5,5,2015,12,5
1,10,6,5,2015,12,5
1,11,7,5,2015,12,5
1,13,8,5,2015,12,5
1,13,9,5,2015,12,5
1,19,10,5,2015,12,5
1,17,11,5,2015,12,5
1,20,12,5,2015,12,5
1,15,13,5,2015,12,5
1,17,14,5,2015,12,5
1,17,15,5,2015,12,5
1,16,16,5,2015,12,5
1,17,17,5,2015,12,5
1,16,18,5,2015,12,5
1,21,19,5,2015,12,5
1,19,20,5,2015,12,5
1,20,21,5,2015,12,5
1,20,22,5,2015,12,5
1,21,23,5,2015,12,5
1,14,0,6,2015,12,6
1,14,1,6,2015,12,6
1,12,2,6,2015,12,6
1,12,3,6,2015,12,6
1,10,4,6,2015,12,6
1,8,5,6,2015,12,6
1,8,6,6,2015,12,6
1,12,7,6,2015,12,6
1,11,8,6,2015,12,6
1,14,9,6,2015,12,6
1,17,10,6,2015,12,6
1,17,11,6,2015,12,6
1,19,12,6,2015,12,6
1,17,13,6,2015,12,6
1,13,14,6,2015,12,6
1,16,15,6,2015,12,6
1,10,16,6,2015,12,6
1,18,17,6,2015,12,6
1,19,18,6,2015,12,6
1,20,19,6,2015,12,6
1,21,20,6,2015,12,6
1,15,21,6,2015,12,6
1,21,22,6,2015,12,6
1,19,23,6,2015,12,6
1,19,0,0,2015,12,7
1,15,1,0,2015,12,7
1,13,2,0,2015,12,7
1,11,3,0,2015,12,7
1,10,4,0,2015,12,7
1,9,5,0,2015,12,7
1,10,6,0,2015,12,7
1,13,7,0,2015,12,7
1,20,8,0,2015,12,7
1,24,9,0,2015,12,7
1,26,10,0,2015,12,7
1,32,11,0,2015,12,7
1,29,12,0,2015,12,7
1,25,13,0,2015,12,7
1,28,14,0,2015,12,7
1,27,15,0,2015,12,7
1,22,16,0,2015,12,7
1,25,17,0,2015,12,7
1,24,18,0,2015,12,7
1,34,19,0,2015,12,7
1,30,20,0,2015,12,7
1,28,21,0,2015,12,7
1,26,22,0,2015,12,7
1,27,23,0,2015,12,7
1,19,0,1,2015,12,8
1,20,1,1,2015,12,8
1,17,2,1,2015,12,8
1,14,3,1,2015,12,8
1,15,4,1,2015,12,8
1,12,5,1,2015,12,8
1,14,6,1,2015,12,8
1,11,7,1,2015,12,8
1,16,8,1,2015,12,8
1,18,9,1,2015,12,8
1,23,10,1,2015,12,8
1,28,11,1,2015,12,8
1,27,12,1,2015,12,8
1,23,13,1,2015,12,8
1,26,14,1,2015,12,8
1,23,15,1,2015,12,8
1,25,16,1,2015,12,8
1,23,17,1,2015,12,8
1,26,18,1,2015,12,8
1,24,19,1,2015,12,8
1,25,20,1,2015,12,8
1,24,21,1,2015,12,8
1,23,22,1,2015,12,8
1,21,23,1,2015,12,8
1,21,0,2,2015,12,9
1,20,1,2,2015,12,9
1,18,2,2,2015,12,9
1,15,3,2,2015,12,9
1,10,4,2,2015,12,9
1,11,5,2,2015,12,9
1,13,6,2,2015,12,9
1,13,7,2,2015,12,9
1,14,8,2,2015,12,9
1,18,9,2,2015,12,9
1,20,10,2,2015,12,9
1,26,11,2,2015,12,9
1,25,12,2,2015,12,9
1,39,13,2,2015,12,9
1,36,14,2,2015,12,9
1,33,15,2,2015,12,9
1,26,16,2,2015,12,9
